pp,party,v,p,div
Alice Springs,ALP,125,36.337209302325576,Braitling
Braitling,ALP,233,28.65928659286593,Braitling
Larapinta,ALP,154,29.558541266794624,Braitling
Sadadeen,ALP,276,35.159235668789805,Braitling
Alice Springs EVC,ALP,654,32.847815168257156,Braitling
Absent,ALP,88,36.21399176954733,Braitling
Declaration,ALP,4,30.76923076923077,Braitling
Postal,ALP,49,38.582677165354326,Braitling
Early (other regions),ALP,18,34.61538461538461,Braitling
Alice Springs,IND_1,15,4.3604651162790695,Braitling
Braitling,IND_1,37,4.551045510455105,Braitling
Larapinta,IND_1,24,4.606525911708253,Braitling
Sadadeen,IND_1,31,3.949044585987261,Braitling
Alice Springs EVC,IND_1,87,4.369663485685585,Braitling
Absent,IND_1,14,5.761316872427984,Braitling
Declaration,IND_1,0,0,Braitling
Postal,IND_1,1,0.7874015748031495,Braitling
Early (other regions),IND_1,2,3.8461538461538463,Braitling
Alice Springs,CLP,117,34.01162790697674,Braitling
Braitling,CLP,416,51.16851168511685,Braitling
Larapinta,CLP,277,53.16698656429942,Braitling
Sadadeen,CLP,254,32.35668789808917,Braitling
Alice Springs EVC,CLP,846,42.491210447011554,Braitling
Absent,CLP,101,41.56378600823045,Braitling
Declaration,CLP,8,61.53846153846154,Braitling
Postal,CLP,49,38.582677165354326,Braitling
Early (other regions),CLP,23,44.230769230769226,Braitling
Alice Springs,GRN,67,19.476744186046513,Braitling
Braitling,GRN,69,8.487084870848708,Braitling
Larapinta,GRN,27,5.182341650671785,Braitling
Sadadeen,GRN,114,14.522292993630574,Braitling
Alice Springs EVC,GRN,177,8.890005022601708,Braitling
Absent,GRN,22,9.053497942386832,Braitling
Declaration,GRN,0,0,Braitling
Postal,GRN,15,11.811023622047244,Braitling
Early (other regions),GRN,2,3.8461538461538463,Braitling
Alice Springs,IND_2,3,0.872093023255814,Braitling
Braitling,IND_2,4,0.4920049200492005,Braitling
Larapinta,IND_2,3,0.5758157389635317,Braitling
Sadadeen,IND_2,5,0.6369426751592357,Braitling
Alice Springs EVC,IND_2,15,0.7533902561526872,Braitling
Absent,IND_2,3,1.2345679012345678,Braitling
Declaration,IND_2,0,0,Braitling
Postal,IND_2,2,1.574803149606299,Braitling
Early (other regions),IND_2,1,1.9230769230769231,Braitling
Alice Springs,IND_3,3,0.872093023255814,Braitling
Braitling,IND_3,16,1.968019680196802,Braitling
Larapinta,IND_3,12,2.3032629558541267,Braitling
Sadadeen,IND_3,23,2.9299363057324843,Braitling
Alice Springs EVC,IND_3,54,2.712204922149674,Braitling
Absent,IND_3,9,3.7037037037037033,Braitling
Declaration,IND_3,0,0,Braitling
Postal,IND_3,5,3.937007874015748,Braitling
Early (other regions),IND_3,3,5.769230769230769,Braitling
Alice Springs,IND_4,14,4.069767441860465,Braitling
Braitling,IND_4,38,4.674046740467404,Braitling
Larapinta,IND_4,24,4.606525911708253,Braitling
Sadadeen,IND_4,82,10.445859872611466,Braitling
Alice Springs EVC,IND_4,158,7.935710698141637,Braitling
Absent,IND_4,6,2.4691358024691357,Braitling
Declaration,IND_4,1,7.6923076923076925,Braitling
Postal,IND_4,6,4.724409448818897,Braitling
Early (other regions),IND_4,3,5.769230769230769,Braitling
